Type,Emitter
Maker,"Semrock"
ProductName,"FF01-446/532/646-25"
Comment,""
Public,1
wavedataset
300,1E-05
300.2,1E-05
300.4,1E-05
300.6,1E-05
300.8,1E-05
301,1E-05
301.2,1E-05
301.4,1E-05
301.6,1E-05
301.8,1E-05
302,1E-05
302.2,1E-05
302.4,1E-05
302.6,1E-05
302.8,1E-05
303,1E-05
303.2,1E-05
303.4,1E-05
303.6,1E-05
303.8,1E-05
304,1E-05
304.2,1E-05
304.4,1E-05
304.6,1E-05
304.8,1E-05
305,1E-05
305.2,1E-05
305.4,1E-05
305.6,1E-05
305.8,1E-05
306,1E-05
306.2,1E-05
306.4,1E-05
306.6,1E-05
306.8,1E-05
307,1E-05
307.2,1E-05
307.4,1E-05
307.6,1E-05
307.8,1E-05
308,1E-05
308.2,1E-05
308.4,1E-05
308.6,1E-05
308.8,1E-05
309,1E-05
309.2,1E-05
309.4,1E-05
309.6,1E-05
309.8,1E-05
310,1E-05
310.2,1E-05
310.4,1E-05
310.6,1E-05
310.8,1E-05
311,1E-05
311.2,1E-05
311.4,1E-05
311.6,1E-05
311.8,1E-05
312,1E-05
312.2,1E-05
312.4,1E-05
312.6,1E-05
312.8,1E-05
313,1E-05
313.2,1E-05
313.4,1E-05
313.6,1E-05
313.8,1E-05
314,1E-05
314.2,1E-05
314.4,1E-05
314.6,1E-05
314.8,1E-05
315,1E-05
315.2,1E-05
315.4,1E-05
315.6,1E-05
315.8,1E-05
316,1E-05
316.2,1E-05
316.4,1E-05
316.6,1E-05
316.8,1E-05
317,1E-05
317.2,1E-05
317.4,1E-05
317.6,1E-05
317.8,1E-05
318,1E-05
318.2,1E-05
318.4,1E-05
318.6,1E-05
318.8,1E-05
319,1E-05
319.2,1E-05
319.4,1E-05
319.6,1E-05
319.8,1E-05
320,1E-05
320.2,1E-05
320.4,1E-05
320.6,1E-05
320.8,1E-05
321,1E-05
321.2,1E-05
321.4,1E-05
321.6,1E-05
321.8,1E-05
322,1E-05
322.2,1E-05
322.4,1E-05
322.6,1E-05
322.8,1E-05
323,1E-05
323.2,1E-05
323.4,1E-05
323.6,1E-05
323.8,1E-05
324,1E-05
324.2,1E-05
324.4,1E-05
324.6,1E-05
324.8,1E-05
325,1E-05
325.2,1E-05
325.4,1E-05
325.6,1E-05
325.8,1E-05
326,1E-05
326.2,1E-05
326.4,1E-05
326.6,1E-05
326.8,1E-05
327,1E-05
327.2,1E-05
327.4,1E-05
327.6,1E-05
327.8,1E-05
328,1E-05
328.2,1E-05
328.4,1E-05
328.6,1E-05
328.8,1E-05
329,1E-05
329.2,1E-05
329.4,1E-05
329.6,1E-05
329.8,1E-05
330,1E-05
330.2,1E-05
330.4,1E-05
330.6,1E-05
330.8,1E-05
331,1E-05
331.2,1E-05
331.4,1E-05
331.6,1E-05
331.8,1E-05
332,1E-05
332.2,1E-05
332.4,1E-05
332.6,1E-05
332.8,1E-05
333,1E-05
333.2,1E-05
333.4,1E-05
333.6,1E-05
333.8,1E-05
334,1E-05
334.2,1E-05
334.4,1E-05
334.6,1E-05
334.8,1E-05
335,1E-05
335.2,1E-05
335.4,1E-05
335.6,1E-05
335.8,1E-05
336,1E-05
336.2,1E-05
336.4,1E-05
336.6,1E-05
336.8,1E-05
337,1E-05
337.2,1E-05
337.4,1E-05
337.6,1E-05
337.8,1E-05
338,1E-05
338.2,1E-05
338.4,1E-05
338.6,1E-05
338.8,1E-05
339,1E-05
339.2,1E-05
339.4,1E-05
339.6,1E-05
339.8,1E-05
340,1E-05
340.2,1E-05
340.4,1E-05
340.6,1E-05
340.8,1E-05
341,1E-05
341.2,1E-05
341.4,1E-05
341.6,1E-05
341.8,1E-05
342,1E-05
342.2,1E-05
342.4,1E-05
342.6,1E-05
342.8,1E-05
343,1E-05
343.2,1E-05
343.4,1E-05
343.6,1E-05
343.8,1E-05
344,1E-05
344.2,1E-05
344.4,1E-05
344.6,1E-05
344.8,1E-05
345,1E-05
345.2,1E-05
345.4,1E-05
345.6,1E-05
345.8,1E-05
346,1E-05
346.2,1E-05
346.4,1E-05
346.6,1E-05
346.8,1E-05
347,1E-05
347.2,1E-05
347.4,1E-05
347.6,1E-05
347.8,1E-05
348,1E-05
348.2,1E-05
348.4,1E-05
348.6,1E-05
348.8,1E-05
